Day,Cash On Hand
11,4846606
12,5583293
13,6394280
14,6248530
15,7497082
16,68426
17,1903363
18,8118421
19,9739418
20,12929325
21,14578639
22,17018278
23,18034296
24,19567554
25,21462582
26,22128696
27,23844081
28,27265786
29,28341779
30,28250470
31,28710262
32,30941056
33,35611702
34,40795726
35,45846520
36,47750133
37,49505951
38,51931935
39,44445257
40,46620257
41,47823313
42,48529734
43,53031477
44,59519692
45,66649873
46,68378351
47,70636422
48,72021806
49,74051671
50,76940938
51,79095211
52,83571793
53,87800508
54,95141343
55,93719411
56,95860088
57,98169114
58,99861562
59,103305962
60,104192078
61,105034071
62,109493550
63,109122084
64,108717365
65,113741819
66,113814497
67,114661395
68,116330427
69,119583962
70,126464024
71,136441867
72,146588520
73,149454058
74,150494286
75,152408973
76,156259133
77,159303455
78,161788116
79,164248687
80,167420807
81,170709016
82,173104332
83,177154232
84,197055677
85,214527131
86,218634194
87,223108184
88,226619754
89,229620120
90,232350370
